skin_tone,eye_color,hair_color,primary_season,color_palette,palette_name,noisy_color_palette,noisy_palette_name
lightMedium,hazel,brown,Autumn,"['mustard', 'warm brown', 'warm green', 'lavender', 'white']",Palette_1cd298a0,"['bright mustard', 'bright warm brown', 'muted warm green', 'light lavender', 'light white']",Palette_ecd6cb36
fairLight,brown,Other,Summer,"['soft green', 'grey', 'peach', 'olive green', 'white']",Palette_8c2ee422,"['light soft green', 'light grey', 'bright peach', 'dark olive green', 'white']",Palette_51bd3c56
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'warm green', 'orange', 'bright red']",Palette_c6dcc210,"['muted pastel blue', 'dark lavender', 'bright warm green', 'light orange', 'light bright red']",Palette_ab57cbd8
fair,green,blonde,Spring,"['clear turquoise', 'warm green', 'soft pink', 'warm brown', 'white']",Palette_05fc57f1,"['clear turquoise', 'warm green', 'muted soft pink', 'light warm brown', 'white']",Palette_f498d317
light,brown,black,Summer,"['lavender', 'pastel blue', 'peach', 'olive green', 'jewel blue']",Palette_60793c7f,"['dark lavender', 'dark pastel blue', 'muted peach', 'olive green', 'dark jewel blue']",Palette_fceb4227
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'golden yellow', 'deep red', 'white']",Palette_4210d9f3,"['muted lavender', 'muted pastel blue', 'dark golden yellow', 'deep red', 'white']",Palette_87b28213
fair,brown,auburn,Summer,"['lavender', 'soft pink', 'peach', 'olive green', 'navy']",Palette_e3d8ac17,"['muted lavender', 'muted soft pink', 'dark peach', 'olive green', 'light navy']",Palette_d9991793
fairLight,blue,brown,Summer,"['grey', 'soft green', 'clear turquoise', 'mustard', 'black']",Palette_0cc8047e,"['dark grey', 'bright soft green', 'bright clear turquoise', 'mustard', 'muted black']",Palette_1c119011
mediumTan,hazel,brown,Autumn,"['orange', 'warm brown', 'peach', 'grey', 'white']",Palette_d684a6f3,"['bright orange', 'bright warm brown', 'bright peach', 'grey', 'dark white']",Palette_eff8038b
medium,brown,black,Spring,"['warm green', 'coral', 'soft green', 'olive green', 'bright red']",Palette_3c40d0b3,"['warm green', 'coral', 'soft green', 'dark olive green', 'muted bright red']",Palette_df80d29b
tan,brown,brunette,Autumn,"['orange', 'mustard', 'peach', 'pastel blue', 'white']",Palette_4f4479dc,"['muted orange', 'bright mustard', 'bright peach', 'dark pastel blue', 'white']",Palette_a99df8b1
medium,brown,brunette,Autumn,"['warm brown', 'olive green', 'warm green', 'grey', 'bright red']",Palette_be0eaa71,"['light warm brown', 'bright olive green', 'muted warm green', 'grey', 'bright red']",Palette_2592a20e
fair,hazel,black,Summer,"['grey', 'lavender', 'coral', 'deep red', 'bright red']",Palette_16af89c1,"['bright grey', 'muted lavender', 'muted coral', 'deep red', 'bright red']",Palette_1614739e
Other,brown,black,Winter,"['white', 'bright red', 'peach', 'lavender', 'olive green']",Palette_57f06716,"['muted white', 'bright bright red', 'light peach', 'bright lavender', 'olive green']",Palette_19494412
fair,brown,black,Summer,"['soft pink', 'soft green', 'peach', 'olive green', 'white']",Palette_37e46a15,"['dark soft pink', 'light soft green', 'dark peach', 'olive green', 'muted white']",Palette_9e19ea02
lightMedium,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'olive green', 'navy']",Palette_38002247,"['muted clear turquoise', 'bright peach', 'soft green', 'bright olive green', 'navy']",Palette_722f8917
tan,brown,black,Spring,"['golden yellow', 'peach', 'soft pink', 'warm brown', 'bright red']",Palette_b2b1cd29,"['golden yellow', 'bright peach', 'dark soft pink', 'muted warm brown', 'bright red']",Palette_b0ccc206
light,hazel,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'mustard', 'bright red']",Palette_17916090,"['bright clear turquoise', 'light coral', 'grey', 'muted mustard', 'dark bright red']",Palette_bca86da7
light,Other,black,Summer,"['soft pink', 'soft green', 'warm green', 'olive green', 'jewel blue']",Palette_eb1c46cb,"['light soft pink', 'bright soft green', 'warm green', 'muted olive green', 'muted jewel blue']",Palette_e4abda3d
light,brown,auburn,Summer,"['pastel blue', 'soft green', 'clear turquoise', 'warm brown', 'black']",Palette_96707b46,"['bright pastel blue', 'muted soft green', 'dark clear turquoise', 'bright warm brown', 'black']",Palette_edc25cea
fair,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'warm brown', 'jewel blue']",Palette_e4b5824c,"['muted golden yellow', 'dark clear turquoise', 'light soft pink', 'muted warm brown', 'dark jewel blue']",Palette_a9ed4c0c
medium,brown,black,Spring,"['coral', 'golden yellow', 'pastel blue', 'orange', 'bright red']",Palette_c32ba891,"['muted coral', 'golden yellow', 'light pastel blue', 'muted orange', 'light bright red']",Palette_e43e0cb6
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'peach', 'mustard', 'bright red']",Palette_25035667,"['dark pastel blue', 'muted soft pink', 'light peach', 'bright mustard', 'bright bright red']",Palette_7896980b
medium,brown,black,Spring,"['coral', 'golden yellow', 'grey', 'mustard', 'bright red']",Palette_ab5ef959,"['muted coral', 'muted golden yellow', 'bright grey', 'dark mustard', 'light bright red']",Palette_b066cf5f
lightMedium,brown,black,Spring,"['peach', 'coral', 'pastel blue', 'mustard', 'black']",Palette_47507575,"['light peach', 'coral', 'bright pastel blue', 'dark mustard', 'black']",Palette_63285480
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'coral', 'grey', 'navy']",Palette_f9844b00,"['dark olive green', 'dark mustard', 'light coral', 'light grey', 'light navy']",Palette_d4140ff2
light,brown,brown,Summer,"['soft pink', 'pastel blue', 'clear turquoise', 'olive green', 'white']",Palette_800f8dcb,"['light soft pink', 'bright pastel blue', 'muted clear turquoise', 'olive green', 'light white']",Palette_f3e9ca9f
fair,brown,red,Summer,"['soft green', 'pastel blue', 'coral', 'deep red', 'black']",Palette_6978f3ed,"['light soft green', 'muted pastel blue', 'bright coral', 'bright deep red', 'light black']",Palette_b718ef98
lightMedium,brown,blonde,Spring,"['warm green', 'coral', 'soft green', 'mustard', 'white']",Palette_cc02a5ac,"['dark warm green', 'bright coral', 'dark soft green', 'dark mustard', 'muted white']",Palette_998f0fc1
medium,brown,black,Spring,"['coral', 'peach', 'grey', 'mustard', 'bright red']",Palette_ce580df6,"['light coral', 'dark peach', 'light grey', 'light mustard', 'bright red']",Palette_26deefaa
lightMedium,hazel,brown,Autumn,"['mustard', 'warm brown', 'clear turquoise', 'lavender', 'black']",Palette_d5109476,"['light mustard', 'muted warm brown', 'clear turquoise', 'light lavender', 'dark black']",Palette_4d063006
fairLight,blue,brown,Summer,"['pastel blue', 'lavender', 'peach', 'warm brown', 'white']",Palette_bf1bfe03,"['bright pastel blue', 'bright lavender', 'dark peach', 'bright warm brown', 'bright white']",Palette_2bc33f74
mediumTan,brown,brown,Autumn,"['deep red', 'warm brown', 'golden yellow', 'lavender', 'bright red']",Palette_dd090bcf,"['bright deep red', 'warm brown', 'dark golden yellow', 'light lavender', 'light bright red']",Palette_6b81ebd1
Other,brown,brunette,Winter,"['bright red', 'white', 'clear turquoise', 'soft green', 'olive green']",Palette_bac4daeb,"['light bright red', 'light white', 'dark clear turquoise', 'bright soft green', 'bright olive green']",Palette_35436c16
light,hazel,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'orange', 'jewel blue']",Palette_f7c6f274,"['bright peach', 'dark clear turquoise', 'light pastel blue', 'dark orange', 'light jewel blue']",Palette_ecb88499
fair,Other,brown,Summer,"['lavender', 'soft green', 'golden yellow', 'deep red', 'jewel blue']",Palette_cc237c58,"['light lavender', 'dark soft green', 'bright golden yellow', 'muted deep red', 'bright jewel blue']",Palette_16b3ddb9
tan,brown,brunette,Autumn,"['deep red', 'orange', 'peach', 'grey', 'black']",Palette_cfe08430,"['deep red', 'orange', 'muted peach', 'bright grey', 'black']",Palette_e4963608
fair,blue,blonde,Spring,"['coral', 'warm green', 'grey', 'mustard', 'white']",Palette_a27979af,"['muted coral', 'bright warm green', 'dark grey', 'mustard', 'light white']",Palette_f7274259
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'bright red']",Palette_2c576c32,"['bright clear turquoise', 'light coral', 'bright pastel blue', 'dark warm brown', 'dark bright red']",Palette_48374233
mediumTan,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'deep red', 'navy']",Palette_7e095127,"['bright clear turquoise', 'muted peach', 'soft green', 'bright deep red', 'muted navy']",Palette_a78036bd
fairLight,Other,brown,Summer,"['pastel blue', 'grey', 'golden yellow', 'warm brown', 'black']",Palette_fe149aea,"['light pastel blue', 'grey', 'muted golden yellow', 'warm brown', 'muted black']",Palette_758c0805
fair,brown,blonde,Summer,"['lavender', 'soft green', 'warm green', 'deep red', 'white']",Palette_4d736055,"['lavender', 'soft green', 'dark warm green', 'light deep red', 'white']",Palette_fda795dd
lightMedium,brown,black,Spring,"['clear turquoise', 'peach', 'lavender', 'deep red', 'black']",Palette_48d8ce86,"['clear turquoise', 'muted peach', 'lavender', 'bright deep red', 'muted black']",Palette_7a4e2333
lightMedium,brown,brown,Autumn,"['mustard', 'orange', 'coral', 'soft pink', 'black']",Palette_4ca7ca61,"['light mustard', 'light orange', 'muted coral', 'dark soft pink', 'black']",Palette_a8303420
medium,brown,brown,Autumn,"['warm brown', 'orange', 'golden yellow', 'grey', 'bright red']",Palette_f9496f65,"['dark warm brown', 'muted orange', 'light golden yellow', 'grey', 'bright red']",Palette_6e057fb6
light,blue,blonde,Spring,"['peach', 'warm green', 'lavender', 'deep red', 'black']",Palette_01f21978,"['dark peach', 'bright warm green', 'light lavender', 'dark deep red', 'light black']",Palette_ff1b35cd
light,green,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'warm brown', 'bright red']",Palette_3d010139,"['clear turquoise', 'dark coral', 'bright grey', 'light warm brown', 'muted bright red']",Palette_c144176d
mediumTan,brown,brown,Autumn,"['deep red', 'orange', 'peach', 'soft green', 'black']",Palette_ef44e01e,"['light deep red', 'bright orange', 'light peach', 'bright soft green', 'light black']",Palette_7412064c
fairLight,Other,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'deep red', 'jewel blue']",Palette_13817adf,"['dark soft pink', 'light grey', 'muted golden yellow', 'bright deep red', 'dark jewel blue']",Palette_054610d5
fairLight,blue,red,Spring,"['coral', 'golden yellow', 'lavender', 'olive green', 'jewel blue']",Palette_86fee22c,"['bright coral', 'golden yellow', 'dark lavender', 'muted olive green', 'jewel blue']",Palette_f4de5315
lightMedium,brown,auburn,Autumn,"['mustard', 'orange', 'peach', 'pastel blue', 'bright red']",Palette_bd2ee07a,"['muted mustard', 'orange', 'dark peach', 'light pastel blue', 'bright red']",Palette_1d32316a
light,blue,brown,Summer,"['soft green', 'grey', 'clear turquoise', 'mustard', 'navy']",Palette_ac8a310a,"['soft green', 'light grey', 'muted clear turquoise', 'mustard', 'light navy']",Palette_0c34af2c
lightMedium,brown,black,Spring,"['peach', 'coral', 'grey', 'mustard', 'navy']",Palette_ff3c75bf,"['light peach', 'light coral', 'light grey', 'muted mustard', 'navy']",Palette_c437bfd0
light,green,brown,Summer,"['lavender', 'grey', 'coral', 'mustard', 'jewel blue']",Palette_fc3facea,"['lavender', 'bright grey', 'bright coral', 'light mustard', 'jewel blue']",Palette_a5cc546a
lightMedium,brown,blonde,Spring,"['clear turquoise', 'peach', 'soft green', 'deep red', 'white']",Palette_08852f23,"['bright clear turquoise', 'peach', 'bright soft green', 'deep red', 'white']",Palette_b73a4f99
fairLight,green,auburn,Spring,"['coral', 'golden yellow', 'soft green', 'mustard', 'jewel blue']",Palette_9f4dd62a,"['bright coral', 'golden yellow', 'dark soft green', 'dark mustard', 'muted jewel blue']",Palette_cce22e9f
mediumTan,brown,brown,Autumn,"['olive green', 'warm brown', 'coral', 'grey', 'jewel blue']",Palette_f0206777,"['light olive green', 'muted warm brown', 'bright coral', 'light grey', 'dark jewel blue']",Palette_f1622dd1
fairLight,brown,blonde,Summer,"['soft pink', 'soft green', 'coral', 'olive green', 'bright red']",Palette_3be69816,"['light soft pink', 'bright soft green', 'coral', 'dark olive green', 'light bright red']",Palette_6ac34c56
light,brown,brown,Summer,"['grey', 'soft green', 'warm green', 'olive green', 'white']",Palette_f0ebefe6,"['bright grey', 'dark soft green', 'dark warm green', 'bright olive green', 'dark white']",Palette_06014063
tan,brown,black,Spring,"['warm green', 'golden yellow', 'soft pink', 'warm brown', 'navy']",Palette_d9260062,"['warm green', 'bright golden yellow', 'dark soft pink', 'light warm brown', 'dark navy']",Palette_116bf1cf
mediumTan,green,black,Spring,"['peach', 'warm green', 'soft green', 'orange', 'black']",Palette_b7570a83,"['dark peach', 'bright warm green', 'bright soft green', 'muted orange', 'muted black']",Palette_2edf82eb
light,green,brown,Summer,"['grey', 'pastel blue', 'golden yellow', 'orange', 'black']",Palette_3c2821ab,"['light grey', 'pastel blue', 'muted golden yellow', 'light orange', 'black']",Palette_4b720eb2
fairLight,brown,brown,Summer,"['lavender', 'soft green', 'peach', 'warm brown', 'jewel blue']",Palette_881e27f6,"['lavender', 'muted soft green', 'bright peach', 'warm brown', 'light jewel blue']",Palette_c670dd5e
fair,brown,blonde,Summer,"['grey', 'lavender', 'peach', 'deep red', 'jewel blue']",Palette_412023e2,"['light grey', 'lavender', 'peach', 'dark deep red', 'jewel blue']",Palette_8d1f2556
light,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'deep red', 'white']",Palette_316deac9,"['muted golden yellow', 'muted clear turquoise', 'muted lavender', 'dark deep red', 'muted white']",Palette_75a9fd42
medium,brown,black,Spring,"['warm green', 'golden yellow', 'grey', 'mustard', 'jewel blue']",Palette_35cbc2b1,"['warm green', 'bright golden yellow', 'bright grey', 'light mustard', 'jewel blue']",Palette_85138d54
light,blue,blonde,Spring,"['peach', 'golden yellow', 'pastel blue', 'warm brown', 'black']",Palette_8a31b8c1,"['light peach', 'muted golden yellow', 'light pastel blue', 'dark warm brown', 'bright black']",Palette_00640b11
medium,brown,black,Spring,"['warm green', 'coral', 'soft green', 'deep red', 'jewel blue']",Palette_f166568b,"['warm green', 'light coral', 'muted soft green', 'dark deep red', 'muted jewel blue']",Palette_79712589
light,brown,black,Summer,"['pastel blue', 'grey', 'clear turquoise', 'orange', 'navy']",Palette_4b6f230f,"['light pastel blue', 'dark grey', 'bright clear turquoise', 'orange', 'light navy']",Palette_10428202
medium,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'olive green', 'white']",Palette_991f1750,"['muted clear turquoise', 'dark peach', 'light soft green', 'light olive green', 'muted white']",Palette_37119d79
light,brown,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'mustard', 'navy']",Palette_85491824,"['soft green', 'pastel blue', 'muted golden yellow', 'dark mustard', 'dark navy']",Palette_e5bcfb94
light,brown,brown,Summer,"['soft green', 'lavender', 'peach', 'orange', 'bright red']",Palette_74aa0331,"['dark soft green', 'light lavender', 'peach', 'bright orange', 'bright red']",Palette_17d2a816
lightMedium,hazel,brown,Autumn,"['orange', 'deep red', 'warm green', 'grey', 'bright red']",Palette_9bfe9ea1,"['light orange', 'dark deep red', 'light warm green', 'grey', 'dark bright red']",Palette_e7b7c56b
deep,brown,black,Winter,"['bright red', 'jewel blue', 'peach', 'soft pink', 'mustard']",Palette_63474954,"['muted bright red', 'bright jewel blue', 'muted peach', 'dark soft pink', 'bright mustard']",Palette_b30e6a4b
fair,brown,brown,Summer,"['lavender', 'soft green', 'golden yellow', 'mustard', 'white']",Palette_78f24783,"['light lavender', 'bright soft green', 'bright golden yellow', 'muted mustard', 'bright white']",Palette_1a183828
light,brown,brown,Summer,"['lavender', 'soft pink', 'warm green', 'mustard', 'white']",Palette_f940f453,"['dark lavender', 'muted soft pink', 'light warm green', 'light mustard', 'bright white']",Palette_ceda9e99
light,hazel,brown,Summer,"['lavender', 'soft green', 'coral', 'warm brown', 'white']",Palette_e75b3d8b,"['muted lavender', 'bright soft green', 'bright coral', 'warm brown', 'dark white']",Palette_946a934c
Other,green,brunette,Spring,"['coral', 'peach', 'soft pink', 'deep red', 'jewel blue']",Palette_3dc7b4e5,"['muted coral', 'bright peach', 'dark soft pink', 'muted deep red', 'bright jewel blue']",Palette_9652cb23
light,brown,auburn,Summer,"['lavender', 'soft pink', 'coral', 'orange', 'black']",Palette_dd8fad97,"['lavender', 'light soft pink', 'dark coral', 'muted orange', 'light black']",Palette_6ebd5fc1
light,blue,brown,Summer,"['soft pink', 'soft green', 'warm green', 'olive green', 'jewel blue']",Palette_eb1c46cb,"['dark soft pink', 'muted soft green', 'dark warm green', 'light olive green', 'dark jewel blue']",Palette_1fd2f1f6
fairLight,brown,red,Summer,"['soft green', 'pastel blue', 'warm green', 'orange', 'black']",Palette_fcbb6661,"['dark soft green', 'pastel blue', 'light warm green', 'muted orange', 'black']",Palette_057a805a
mediumTan,brown,black,Spring,"['coral', 'warm green', 'grey', 'mustard', 'bright red']",Palette_d3361b1c,"['light coral', 'light warm green', 'light grey', 'light mustard', 'bright red']",Palette_e29891e3
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'coral', 'soft green', 'black']",Palette_55b88f0d,"['olive green', 'bright mustard', 'coral', 'bright soft green', 'muted black']",Palette_423237ca
fair,hazel,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'orange', 'navy']",Palette_e23c0cac,"['dark soft green', 'muted pastel blue', 'dark golden yellow', 'orange', 'muted navy']",Palette_1eac6c27
fairLight,blue,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'black']",Palette_1d3aca07,"['dark clear turquoise', 'dark coral', 'pastel blue', 'bright warm brown', 'muted black']",Palette_80e78ef0
fair,brown,black,Summer,"['soft pink', 'lavender', 'golden yellow', 'orange', 'bright red']",Palette_2d7f0943,"['light soft pink', 'light lavender', 'muted golden yellow', 'muted orange', 'light bright red']",Palette_8f38617f
Other,brown,brunette,Winter,"['jewel blue', 'bright red', 'coral', 'soft green', 'deep red']",Palette_c38fe6b3,"['muted jewel blue', 'muted bright red', 'bright coral', 'muted soft green', 'dark deep red']",Palette_a3f9c3f4
mediumTan,brown,brown,Autumn,"['orange', 'deep red', 'clear turquoise', 'pastel blue', 'bright red']",Palette_6bedb42c,"['light orange', 'bright deep red', 'muted clear turquoise', 'pastel blue', 'muted bright red']",Palette_e268ccc1
light,brown,brown,Summer,"['grey', 'soft green', 'warm green', 'olive green', 'white']",Palette_f0ebefe6,"['bright grey', 'soft green', 'bright warm green', 'dark olive green', 'light white']",Palette_3fa334ac
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'peach', 'orange', 'black']",Palette_cbc85a30,"['dark pastel blue', 'light lavender', 'muted peach', 'muted orange', 'bright black']",Palette_a7ada139
light,brown,brown,Summer,"['lavender', 'soft pink', 'warm green', 'orange', 'bright red']",Palette_0f655741,"['bright lavender', 'soft pink', 'warm green', 'dark orange', 'bright red']",Palette_492bc0b6
mediumTan,blue,brown,Spring,"['warm green', 'golden yellow', 'soft green', 'warm brown', 'bright red']",Palette_216d8eb7,"['dark warm green', 'dark golden yellow', 'soft green', 'bright warm brown', 'muted bright red']",Palette_feeaf83b
mediumTan,brown,brown,Autumn,"['warm brown', 'deep red', 'peach', 'pastel blue', 'navy']",Palette_82426739,"['warm brown', 'bright deep red', 'bright peach', 'bright pastel blue', 'muted navy']",Palette_9a90c6c8
fair,hazel,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'deep red', 'navy']",Palette_48831651,"['light soft green', 'pastel blue', 'muted golden yellow', 'deep red', 'navy']",Palette_a6fc85e7
fairLight,blue,red,Spring,"['warm green', 'clear turquoise', 'soft green', 'mustard', 'jewel blue']",Palette_e1f81aea,"['warm green', 'light clear turquoise', 'soft green', 'bright mustard', 'bright jewel blue']",Palette_c5928e4c
tan,brown,black,Spring,"['peach', 'warm green', 'pastel blue', 'mustard', 'navy']",Palette_ccd4c268,"['light peach', 'dark warm green', 'light pastel blue', 'light mustard', 'navy']",Palette_db64e3a8
light,brown,Other,Summer,"['soft pink', 'soft green', 'clear turquoise', 'deep red', 'black']",Palette_d051990c,"['muted soft pink', 'light soft green', 'clear turquoise', 'deep red', 'bright black']",Palette_4e95894a
light,blue,brown,Summer,"['pastel blue', 'soft pink', 'golden yellow', 'deep red', 'navy']",Palette_92e49b63,"['light pastel blue', 'muted soft pink', 'light golden yellow', 'bright deep red', 'muted navy']",Palette_8ea210f1
lightMedium,hazel,brown,Autumn,"['deep red', 'olive green', 'coral', 'lavender', 'navy']",Palette_cef3f56b,"['muted deep red', 'muted olive green', 'coral', 'dark lavender', 'dark navy']",Palette_8e29ad88
fairLight,Other,blonde,Summer,"['soft pink', 'grey', 'coral', 'orange', 'jewel blue']",Palette_7baf7bdc,"['bright soft pink', 'dark grey', 'bright coral', 'bright orange', 'dark jewel blue']",Palette_d894b2d9
light,green,brown,Summer,"['soft green', 'lavender', 'golden yellow', 'mustard', 'bright red']",Palette_1121333b,"['soft green', 'lavender', 'bright golden yellow', 'mustard', 'bright red']",Palette_78c776ea
fair,brown,brown,Summer,"['grey', 'soft pink', 'coral', 'warm brown', 'bright red']",Palette_5d8323f0,"['grey', 'light soft pink', 'light coral', 'dark warm brown', 'light bright red']",Palette_58bc81ce
light,hazel,blonde,Spring,"['golden yellow', 'warm green', 'grey', 'olive green', 'black']",Palette_03f992c3,"['light golden yellow', 'warm green', 'bright grey', 'muted olive green', 'light black']",Palette_cda3560c
fairLight,green,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'mustard', 'black']",Palette_f6def16e,"['soft pink', 'light grey', 'dark golden yellow', 'bright mustard', 'bright black']",Palette_64852a74
light,brown,black,Summer,"['soft green', 'grey', 'warm green', 'deep red', 'jewel blue']",Palette_df2fb4f1,"['bright soft green', 'bright grey', 'muted warm green', 'muted deep red', 'dark jewel blue']",Palette_b78c77ca
tan,brown,brown,Autumn,"['mustard', 'warm brown', 'warm green', 'soft pink', 'white']",Palette_61d831df,"['muted mustard', 'bright warm brown', 'muted warm green', 'bright soft pink', 'dark white']",Palette_5cbf3eaa
fairLight,hazel,brown,Summer,"['grey', 'lavender', 'peach', 'orange', 'white']",Palette_74cf1c6d,"['light grey', 'light lavender', 'peach', 'bright orange', 'dark white']",Palette_c5a7a7f0
fair,brown,blonde,Summer,"['soft green', 'grey', 'clear turquoise', 'orange', 'jewel blue']",Palette_012b01aa,"['muted soft green', 'grey', 'dark clear turquoise', 'dark orange', 'dark jewel blue']",Palette_351e860e
fair,blue,blonde,Spring,"['clear turquoise', 'peach', 'pastel blue', 'olive green', 'white']",Palette_f50bc351,"['dark clear turquoise', 'muted peach', 'pastel blue', 'light olive green', 'muted white']",Palette_164e51ae
fair,brown,brown,Summer,"['grey', 'pastel blue', 'peach', 'olive green', 'black']",Palette_0ee21ab3,"['dark grey', 'light pastel blue', 'dark peach', 'olive green', 'bright black']",Palette_37421baf
Other,brown,black,Winter,"['white', 'black', 'coral', 'soft pink', 'warm brown']",Palette_cd52e827,"['light white', 'muted black', 'dark coral', 'light soft pink', 'dark warm brown']",Palette_27fe85b8
deep,brown,black,Winter,"['black', 'navy', 'warm green', 'soft green', 'warm brown']",Palette_4a6d0119,"['dark black', 'navy', 'warm green', 'muted soft green', 'bright warm brown']",Palette_592c3ecb
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'peach', 'warm brown', 'black']",Palette_f96f07b7,"['light lavender', 'bright pastel blue', 'muted peach', 'light warm brown', 'black']",Palette_441d73f7
