skin_tone,eye_color,hair_color,primary_season,color_palette
light,brown,black,Summer,"['soft green', 'grey', 'warm green', 'deep red', 'jewel blue']"
tan,brown,brown,Autumn,"['mustard', 'warm brown', 'warm green', 'soft pink', 'white']"
fairLight,hazel,brown,Summer,"['grey', 'lavender', 'peach', 'orange', 'white']"
fair,brown,blonde,Summer,"['soft green', 'grey', 'clear turquoise', 'orange', 'jewel blue']"
fair,blue,blonde,Spring,"['clear turquoise', 'peach', 'pastel blue', 'olive green', 'white']"
fair,brown,brown,Summer,"['grey', 'pastel blue', 'peach', 'olive green', 'black']"
Other,brown,black,Winter,"['white', 'black', 'coral', 'soft pink', 'warm brown']"
deep,brown,black,Winter,"['black', 'navy', 'warm green', 'soft green', 'warm brown']"
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'peach', 'warm brown', 'black']"
medium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'grey', 'orange', 'jewel blue']"
mediumTan,brown,brown,Autumn,"['warm brown', 'orange', 'warm green', 'pastel blue', 'jewel blue']"
fairLight,brown,red,Summer,"['soft pink', 'grey', 'clear turquoise', 'olive green', 'white']"
mediumTan,brown,brown,Autumn,"['warm brown', 'olive green', 'warm green', 'pastel blue', 'white']"
medium,brown,black,Spring,"['warm green', 'clear turquoise', 'grey', 'orange', 'white']"
fair,green,black,Summer,"['pastel blue', 'soft green', 'coral', 'orange', 'black']"
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'peach', 'lavender', 'jewel blue']"
light,green,brown,Summer,"['soft pink', 'soft green', 'golden yellow', 'orange', 'bright red']"
fairLight,brown,brown,Summer,"['pastel blue', 'grey', 'golden yellow', 'deep red', 'white']"
light,blue,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'deep red', 'black']"
light,blue,blonde,Spring,"['peach', 'coral', 'soft pink', 'olive green', 'black']"
fairLight,hazel,blonde,Spring,"['warm green', 'peach', 'grey', 'mustard', 'black']"
fair,blue,blonde,Spring,"['warm green', 'golden yellow', 'lavender', 'orange', 'bright red']"
fair,hazel,brown,Summer,"['soft pink', 'lavender', 'warm green', 'warm brown', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['mustard', 'deep red', 'warm green', 'soft pink', 'bright red']"
tan,brown,black,Spring,"['warm green', 'peach', 'pastel blue', 'warm brown', 'jewel blue']"
fairLight,hazel,brown,Summer,"['pastel blue', 'grey', 'warm green', 'warm brown', 'white']"
mediumTan,brown,brown,Autumn,"['deep red', 'orange', 'clear turquoise', 'grey', 'white']"
light,green,brown,Summer,"['lavender', 'soft pink', 'peach', 'warm brown', 'bright red']"
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'peach', 'lavender', 'navy']"
mediumTan,brown,black,Spring,"['coral', 'golden yellow', 'lavender', 'orange', 'jewel blue']"
fairLight,blue,brown,Summer,"['lavender', 'pastel blue', 'golden yellow', 'mustard', 'white']"
light,hazel,brunette,Summer,"['grey', 'pastel blue', 'golden yellow', 'olive green', 'navy']"
light,green,brown,Summer,"['pastel blue', 'lavender', 'peach', 'olive green', 'black']"
lightMedium,hazel,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'mustard', 'white']"
deep,brown,black,Winter,"['bright red', 'white', 'peach', 'grey', 'warm brown']"
fair,brown,brown,Summer,"['soft pink', 'soft green', 'golden yellow', 'warm brown', 'navy']"
fair,hazel,blonde,Spring,"['golden yellow', 'peach', 'pastel blue', 'orange', 'navy']"
light,green,blonde,Spring,"['clear turquoise', 'warm green', 'grey', 'olive green', 'white']"
medium,brown,brown,Autumn,"['mustard', 'olive green', 'clear turquoise', 'lavender', 'bright red']"
lightMedium,brown,brown,Autumn,"['warm brown', 'olive green', 'coral', 'soft pink', 'white']"
light,brown,brown,Summer,"['soft pink', 'grey', 'coral', 'deep red', 'jewel blue']"
fair,brown,brown,Summer,"['soft pink', 'soft green', 'golden yellow', 'orange', 'navy']"
fair,hazel,brown,Summer,"['soft pink', 'soft green', 'peach', 'warm brown', 'bright red']"
light,Other,brown,Summer,"['pastel blue', 'soft green', 'warm green', 'deep red', 'navy']"
lightMedium,brown,blonde,Spring,"['coral', 'peach', 'grey', 'deep red', 'white']"
tan,brown,brown,Autumn,"['warm brown', 'olive green', 'clear turquoise', 'grey', 'white']"
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'golden yellow', 'soft green', 'black']"
fair,brown,red,Summer,"['soft pink', 'pastel blue', 'warm green', 'olive green', 'navy']"
light,brown,black,Summer,"['pastel blue', 'soft green', 'clear turquoise', 'olive green', 'jewel blue']"
light,hazel,blonde,Spring,"['coral', 'golden yellow', 'lavender', 'mustard', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['warm brown', 'mustard', 'warm green', 'soft green', 'jewel blue']"
light,blue,blonde,Spring,"['warm green', 'golden yellow', 'soft green', 'warm brown', 'white']"
fair,blue,brown,Summer,"['soft green', 'soft pink', 'warm green', 'olive green', 'bright red']"
mediumTan,green,brown,Autumn,"['olive green', 'deep red', 'peach', 'soft pink', 'navy']"
lightMedium,green,brown,Autumn,"['warm brown', 'orange', 'coral', 'soft pink', 'jewel blue']"
light,blue,brunette,Summer,"['pastel blue', 'grey', 'golden yellow', 'mustard', 'jewel blue']"
tan,brown,black,Spring,"['coral', 'golden yellow', 'pastel blue', 'warm brown', 'black']"
fairLight,blue,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'mustard', 'white']"
mediumTan,brown,brown,Autumn,"['warm brown', 'orange', 'coral', 'pastel blue', 'white']"
light,brown,brunette,Summer,"['soft pink', 'soft green', 'warm green', 'warm brown', 'black']"
light,brown,brunette,Summer,"['grey', 'soft green', 'peach', 'orange', 'white']"
fair,blue,blonde,Spring,"['coral', 'golden yellow', 'soft green', 'warm brown', 'jewel blue']"
fair,brown,brown,Summer,"['grey', 'soft pink', 'peach', 'warm brown', 'navy']"
lightMedium,green,blonde,Spring,"['coral', 'peach', 'grey', 'warm brown', 'white']"
fair,blue,blonde,Spring,"['warm green', 'coral', 'pastel blue', 'warm brown', 'jewel blue']"
fair,green,red,Spring,"['golden yellow', 'warm green', 'soft pink', 'deep red', 'black']"
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'peach', 'deep red', 'navy']"
lightMedium,brown,brown,Autumn,"['orange', 'deep red', 'warm green', 'pastel blue', 'jewel blue']"
fair,hazel,brown,Summer,"['soft green', 'soft pink', 'coral', 'orange', 'bright red']"
lightMedium,brown,red,Autumn,"['orange', 'mustard', 'golden yellow', 'grey', 'black']"
light,brown,brown,Summer,"['grey', 'pastel blue', 'warm green', 'olive green', 'black']"
Other,blue,blonde,Spring,"['peach', 'warm green', 'soft pink', 'orange', 'navy']"
light,brown,brown,Summer,"['grey', 'soft green', 'coral', 'warm brown', 'jewel blue']"
fair,hazel,auburn,Spring,"['warm green', 'clear turquoise', 'soft green', 'mustard', 'navy']"
medium,hazel,red,Autumn,"['warm brown', 'deep red', 'warm green', 'grey', 'navy']"
fair,blue,blonde,Spring,"['clear turquoise', 'peach', 'soft green', 'olive green', 'black']"
Other,brown,brown,Winter,"['bright red', 'white', 'warm green', 'grey', 'olive green']"
lightMedium,green,brown,Autumn,"['deep red', 'orange', 'golden yellow', 'soft green', 'bright red']"
lightMedium,hazel,brown,Autumn,"['warm brown', 'olive green', 'warm green', 'soft pink', 'jewel blue']"
lightMedium,brown,black,Spring,"['coral', 'clear turquoise', 'soft green', 'deep red', 'jewel blue']"
medium,brown,brown,Autumn,"['orange', 'olive green', 'golden yellow', 'grey', 'bright red']"
lightMedium,brown,auburn,Autumn,"['warm brown', 'mustard', 'coral', 'pastel blue', 'white']"
tan,hazel,brown,Autumn,"['olive green', 'deep red', 'golden yellow', 'soft green', 'black']"
fair,green,blonde,Spring,"['coral', 'clear turquoise', 'pastel blue', 'deep red', 'jewel blue']"
fair,brown,brown,Summer,"['soft green', 'pastel blue', 'peach', 'deep red', 'navy']"
fairLight,hazel,blonde,Spring,"['peach', 'clear turquoise', 'soft pink', 'orange', 'navy']"
fair,blue,blonde,Spring,"['coral', 'golden yellow', 'pastel blue', 'orange', 'navy']"
light,blue,brunette,Summer,"['grey', 'soft pink', 'coral', 'deep red', 'black']"
lightMedium,brown,black,Spring,"['clear turquoise', 'coral', 'lavender', 'olive green', 'black']"
fair,hazel,black,Summer,"['pastel blue', 'soft pink', 'warm green', 'orange', 'bright red']"
tan,green,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'orange', 'bright red']"
fair,hazel,red,Spring,"['clear turquoise', 'peach', 'soft pink', 'mustard', 'jewel blue']"
medium,brown,Other,Spring,"['golden yellow', 'coral', 'soft green', 'mustard', 'navy']"
mediumTan,brown,black,Spring,"['peach', 'golden yellow', 'soft pink', 'mustard', 'black']"
tan,brown,auburn,Autumn,"['orange', 'warm brown', 'peach', 'soft green', 'jewel blue']"
fair,blue,brown,Summer,"['lavender', 'grey', 'golden yellow', 'olive green', 'navy']"
fair,blue,blonde,Spring,"['peach', 'clear turquoise', 'grey', 'deep red', 'navy']"
mediumTan,brown,brown,Autumn,"['warm brown', 'orange', 'warm green', 'soft pink', 'black']"
mediumTan,brown,brown,Autumn,"['deep red', 'orange', 'clear turquoise', 'pastel blue', 'bright red']"
medium,green,blonde,Spring,"['coral', 'warm green', 'lavender', 'orange', 'navy']"
fair,green,blonde,Spring,"['clear turquoise', 'warm green', 'grey', 'deep red', 'black']"
medium,brown,brown,Autumn,"['warm brown', 'deep red', 'warm green', 'soft green', 'navy']"
fair,blue,brown,Summer,"['grey', 'lavender', 'clear turquoise', 'olive green', 'navy']"
fair,blue,blonde,Spring,"['peach', 'coral', 'soft pink', 'olive green', 'jewel blue']"
deep,brown,black,Winter,"['jewel blue', 'navy', 'clear turquoise', 'lavender', 'deep red']"
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'peach', 'pastel blue', 'jewel blue']"
light,green,brown,Summer,"['soft pink', 'grey', 'clear turquoise', 'warm brown', 'black']"
fair,blue,blonde,Spring,"['coral', 'warm green', 'soft pink', 'orange', 'jewel blue']"
fair,blue,blonde,Spring,"['peach', 'coral', 'soft pink', 'warm brown', 'bright red']"
fair,blue,auburn,Spring,"['coral', 'peach', 'grey', 'deep red', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['mustard', 'deep red', 'coral', 'pastel blue', 'bright red']"
light,blue,auburn,Spring,"['golden yellow', 'clear turquoise', 'pastel blue', 'orange', 'black']"
fairLight,hazel,brown,Summer,"['grey', 'lavender', 'golden yellow', 'mustard', 'black']"
lightMedium,brown,black,Spring,"['clear turquoise', 'warm green', 'pastel blue', 'olive green', 'jewel blue']"
light,blue,blonde,Spring,"['clear turquoise', 'peach', 'soft pink', 'deep red', 'black']"
fair,blue,red,Spring,"['golden yellow', 'warm green', 'soft pink', 'olive green', 'navy']"
medium,brown,auburn,Autumn,"['olive green', 'warm brown', 'warm green', 'grey', 'black']"
fair,hazel,brown,Summer,"['soft pink', 'pastel blue', 'coral', 'deep red', 'navy']"
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'warm green', 'mustard', 'white']"
light,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'grey', 'deep red', 'black']"
fair,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'mustard', 'jewel blue']"
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'soft pink', 'mustard', 'jewel blue']"
fair,green,red,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'orange', 'black']"
fair,hazel,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft green', 'orange', 'navy']"
fair,brown,black,Summer,"['pastel blue', 'lavender', 'peach', 'orange', 'bright red']"
light,blue,black,Summer,"['lavender', 'soft green', 'coral', 'deep red', 'white']"
light,brown,blonde,Summer,"['grey', 'soft pink', 'warm green', 'deep red', 'navy']"
fair,blue,blonde,Spring,"['coral', 'peach', 'lavender', 'orange', 'white']"
light,blue,blonde,Spring,"['warm green', 'coral', 'soft pink', 'mustard', 'white']"
fair,brown,black,Summer,"['lavender', 'grey', 'golden yellow', 'orange', 'navy']"
deep,brown,black,Winter,"['jewel blue', 'navy', 'peach', 'soft pink', 'deep red']"
fair,brown,black,Summer,"['pastel blue', 'soft green', 'golden yellow', 'mustard', 'navy']"
light,brown,black,Summer,"['soft pink', 'pastel blue', 'clear turquoise', 'olive green', 'bright red']"
lightMedium,brown,black,Spring,"['clear turquoise', 'coral', 'soft green', 'orange', 'navy']"
light,brown,black,Summer,"['pastel blue', 'lavender', 'golden yellow', 'deep red', 'jewel blue']"
light,blue,blonde,Spring,"['coral', 'warm green', 'soft green', 'olive green', 'navy']"
fair,hazel,blonde,Spring,"['warm green', 'coral', 'pastel blue', 'olive green', 'navy']"
light,green,Other,Summer,"['soft pink', 'lavender', 'coral', 'deep red', 'navy']"
light,blue,blonde,Spring,"['peach', 'warm green', 'soft pink', 'mustard', 'bright red']"
lightMedium,brown,black,Spring,"['clear turquoise', 'peach', 'pastel blue', 'warm brown', 'bright red']"
medium,brown,brown,Autumn,"['orange', 'deep red', 'clear turquoise', 'lavender', 'black']"
light,brown,blonde,Summer,"['grey', 'lavender', 'warm green', 'orange', 'jewel blue']"
light,blue,blonde,Spring,"['clear turquoise', 'warm green', 'soft green', 'deep red', 'black']"
light,blue,blonde,Spring,"['peach', 'golden yellow', 'pastel blue', 'orange', 'bright red']"
light,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'orange', 'navy']"
tan,brown,black,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'orange', 'bright red']"
fair,hazel,Other,Summer,"['soft green', 'soft pink', 'golden yellow', 'warm brown', 'white']"
tan,brown,black,Spring,"['warm green', 'peach', 'grey', 'olive green', 'white']"
light,brown,auburn,Summer,"['grey', 'soft green', 'golden yellow', 'orange', 'jewel blue']"
fair,brown,blonde,Summer,"['pastel blue', 'soft green', 'coral', 'orange', 'jewel blue']"
fair,blue,red,Spring,"['golden yellow', 'clear turquoise', 'pastel blue', 'olive green', 'white']"
light,green,blonde,Spring,"['clear turquoise', 'warm green', 'lavender', 'olive green', 'jewel blue']"
lightMedium,brown,black,Spring,"['golden yellow', 'peach', 'soft pink', 'orange', 'black']"
fair,blue,blonde,Spring,"['coral', 'clear turquoise', 'soft green', 'orange', 'bright red']"
fair,brown,blonde,Summer,"['soft green', 'pastel blue', 'coral', 'warm brown', 'jewel blue']"
light,blue,blonde,Spring,"['coral', 'peach', 'grey', 'warm brown', 'white']"
light,blue,blonde,Spring,"['coral', 'golden yellow', 'soft pink', 'olive green', 'jewel blue']"
light,brown,black,Summer,"['soft green', 'soft pink', 'golden yellow', 'deep red', 'bright red']"
light,blue,blonde,Spring,"['golden yellow', 'warm green', 'lavender', 'mustard', 'navy']"
lightMedium,brown,black,Spring,"['golden yellow', 'warm green', 'lavender', 'warm brown', 'bright red']"
light,blue,blonde,Spring,"['peach', 'coral', 'lavender', 'warm brown', 'white']"
light,brown,black,Summer,"['pastel blue', 'lavender', 'warm green', 'warm brown', 'black']"
tan,brown,black,Spring,"['peach', 'coral', 'grey', 'mustard', 'jewel blue']"
fair,hazel,red,Spring,"['warm green', 'peach', 'soft pink', 'mustard', 'black']"
fair,green,blonde,Spring,"['peach', 'golden yellow', 'pastel blue', 'mustard', 'black']"
tan,brown,black,Spring,"['warm green', 'coral', 'pastel blue', 'mustard', 'jewel blue']"
fair,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft green', 'olive green', 'white']"
fair,blue,blonde,Spring,"['coral', 'golden yellow', 'pastel blue', 'orange', 'black']"
medium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'pastel blue', 'mustard', 'black']"
fair,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'pastel blue', 'olive green', 'navy']"
light,brown,black,Summer,"['soft green', 'pastel blue', 'coral', 'deep red', 'black']"
light,blue,blonde,Spring,"['clear turquoise', 'warm green', 'lavender', 'olive green', 'navy']"
light,brown,blonde,Summer,"['grey', 'pastel blue', 'warm green', 'mustard', 'black']"
light,blue,blonde,Spring,"['clear turquoise', 'peach', 'lavender', 'olive green', 'white']"
fair,brown,black,Summer,"['pastel blue', 'lavender', 'coral', 'mustard', 'bright red']"
