skin_tone,eye_color,hair_color,primary_season,color_palette,palette_name
light,brown,brown,Summer,"['grey', 'soft green', 'warm green', 'olive green', 'white']",Palette_f0ebefe6
tan,brown,black,Spring,"['warm green', 'golden yellow', 'soft pink', 'warm brown', 'navy']",Palette_d9260062
mediumTan,green,black,Spring,"['peach', 'warm green', 'soft green', 'orange', 'black']",Palette_b7570a83
light,green,brown,Summer,"['grey', 'pastel blue', 'golden yellow', 'orange', 'black']",Palette_3c2821ab
fairLight,brown,brown,Summer,"['lavender', 'soft green', 'peach', 'warm brown', 'jewel blue']",Palette_881e27f6
fair,brown,blonde,Summer,"['grey', 'lavender', 'peach', 'deep red', 'jewel blue']",Palette_412023e2
light,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'deep red', 'white']",Palette_316deac9
medium,brown,black,Spring,"['warm green', 'golden yellow', 'grey', 'mustard', 'jewel blue']",Palette_35cbc2b1
light,blue,blonde,Spring,"['peach', 'golden yellow', 'pastel blue', 'warm brown', 'black']",Palette_8a31b8c1
medium,brown,black,Spring,"['warm green', 'coral', 'soft green', 'deep red', 'jewel blue']",Palette_f166568b
light,brown,black,Summer,"['pastel blue', 'grey', 'clear turquoise', 'orange', 'navy']",Palette_4b6f230f
medium,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'olive green', 'white']",Palette_991f1750
light,brown,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'mustard', 'navy']",Palette_85491824
light,brown,brown,Summer,"['soft green', 'lavender', 'peach', 'orange', 'bright red']",Palette_74aa0331
lightMedium,hazel,brown,Autumn,"['orange', 'deep red', 'warm green', 'grey', 'bright red']",Palette_9bfe9ea1
deep,brown,black,Winter,"['bright red', 'jewel blue', 'peach', 'soft pink', 'mustard']",Palette_63474954
fair,brown,brown,Summer,"['lavender', 'soft green', 'golden yellow', 'mustard', 'white']",Palette_78f24783
light,brown,brown,Summer,"['lavender', 'soft pink', 'warm green', 'mustard', 'white']",Palette_f940f453
light,hazel,brown,Summer,"['lavender', 'soft green', 'coral', 'warm brown', 'white']",Palette_e75b3d8b
Other,green,brunette,Spring,"['coral', 'peach', 'soft pink', 'deep red', 'jewel blue']",Palette_3dc7b4e5
light,brown,auburn,Summer,"['lavender', 'soft pink', 'coral', 'orange', 'black']",Palette_dd8fad97
light,blue,brown,Summer,"['soft pink', 'soft green', 'warm green', 'olive green', 'jewel blue']",Palette_eb1c46cb
fairLight,brown,red,Summer,"['soft green', 'pastel blue', 'warm green', 'orange', 'black']",Palette_fcbb6661
mediumTan,brown,black,Spring,"['coral', 'warm green', 'grey', 'mustard', 'bright red']",Palette_d3361b1c
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'coral', 'soft green', 'black']",Palette_55b88f0d
fair,hazel,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'orange', 'navy']",Palette_e23c0cac
fairLight,blue,blonde,Spring,"['clear turquoise', 'coral', 'pastel blue', 'warm brown', 'black']",Palette_1d3aca07
fair,brown,black,Summer,"['soft pink', 'lavender', 'golden yellow', 'orange', 'bright red']",Palette_2d7f0943
Other,brown,brunette,Winter,"['jewel blue', 'bright red', 'coral', 'soft green', 'deep red']",Palette_c38fe6b3
mediumTan,brown,brown,Autumn,"['orange', 'deep red', 'clear turquoise', 'pastel blue', 'bright red']",Palette_6bedb42c
light,brown,brown,Summer,"['grey', 'soft green', 'warm green', 'olive green', 'white']",Palette_f0ebefe6
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'peach', 'orange', 'black']",Palette_cbc85a30
light,brown,brown,Summer,"['lavender', 'soft pink', 'warm green', 'orange', 'bright red']",Palette_0f655741
mediumTan,blue,brown,Spring,"['warm green', 'golden yellow', 'soft green', 'warm brown', 'bright red']",Palette_216d8eb7
mediumTan,brown,brown,Autumn,"['warm brown', 'deep red', 'peach', 'pastel blue', 'navy']",Palette_82426739
fair,hazel,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'deep red', 'navy']",Palette_48831651
fairLight,blue,red,Spring,"['warm green', 'clear turquoise', 'soft green', 'mustard', 'jewel blue']",Palette_e1f81aea
tan,brown,black,Spring,"['peach', 'warm green', 'pastel blue', 'mustard', 'navy']",Palette_ccd4c268
light,brown,Other,Summer,"['soft pink', 'soft green', 'clear turquoise', 'deep red', 'black']",Palette_d051990c
light,blue,brown,Summer,"['pastel blue', 'soft pink', 'golden yellow', 'deep red', 'navy']",Palette_92e49b63
lightMedium,hazel,brown,Autumn,"['deep red', 'olive green', 'coral', 'lavender', 'navy']",Palette_cef3f56b
fairLight,Other,blonde,Summer,"['soft pink', 'grey', 'coral', 'orange', 'jewel blue']",Palette_7baf7bdc
light,green,brown,Summer,"['soft green', 'lavender', 'golden yellow', 'mustard', 'bright red']",Palette_1121333b
fair,brown,brown,Summer,"['grey', 'soft pink', 'coral', 'warm brown', 'bright red']",Palette_5d8323f0
light,hazel,blonde,Spring,"['golden yellow', 'warm green', 'grey', 'olive green', 'black']",Palette_03f992c3
fairLight,green,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'mustard', 'black']",Palette_f6def16e
light,brown,black,Summer,"['soft green', 'grey', 'warm green', 'deep red', 'jewel blue']",Palette_df2fb4f1
tan,brown,brown,Autumn,"['mustard', 'warm brown', 'warm green', 'soft pink', 'white']",Palette_61d831df
fairLight,hazel,brown,Summer,"['grey', 'lavender', 'peach', 'orange', 'white']",Palette_74cf1c6d
fair,brown,blonde,Summer,"['soft green', 'grey', 'clear turquoise', 'orange', 'jewel blue']",Palette_012b01aa
fair,blue,blonde,Spring,"['clear turquoise', 'peach', 'pastel blue', 'olive green', 'white']",Palette_f50bc351
fair,brown,brown,Summer,"['grey', 'pastel blue', 'peach', 'olive green', 'black']",Palette_0ee21ab3
Other,brown,black,Winter,"['white', 'black', 'coral', 'soft pink', 'warm brown']",Palette_cd52e827
deep,brown,black,Winter,"['black', 'navy', 'warm green', 'soft green', 'warm brown']",Palette_4a6d0119
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'peach', 'warm brown', 'black']",Palette_f96f07b7
medium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'grey', 'orange', 'jewel blue']",Palette_5fb9c427
mediumTan,brown,brown,Autumn,"['warm brown', 'orange', 'warm green', 'pastel blue', 'jewel blue']",Palette_c0528c33
fairLight,brown,red,Summer,"['soft pink', 'grey', 'clear turquoise', 'olive green', 'white']",Palette_d3de3452
mediumTan,brown,brown,Autumn,"['warm brown', 'olive green', 'warm green', 'pastel blue', 'white']",Palette_3b5cd563
medium,brown,black,Spring,"['warm green', 'clear turquoise', 'grey', 'orange', 'white']",Palette_386a5719
fair,green,black,Summer,"['pastel blue', 'soft green', 'coral', 'orange', 'black']",Palette_70442f22
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'peach', 'lavender', 'jewel blue']",Palette_d175793e
light,green,brown,Summer,"['soft pink', 'soft green', 'golden yellow', 'orange', 'bright red']",Palette_9bf9c8e2
fairLight,brown,brown,Summer,"['pastel blue', 'grey', 'golden yellow', 'deep red', 'white']",Palette_824226aa
light,blue,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'deep red', 'black']",Palette_396fa72f
light,blue,blonde,Spring,"['peach', 'coral', 'soft pink', 'olive green', 'black']",Palette_f21778b2
fairLight,hazel,blonde,Spring,"['warm green', 'peach', 'grey', 'mustard', 'black']",Palette_0841bb85
fair,blue,blonde,Spring,"['warm green', 'golden yellow', 'lavender', 'orange', 'bright red']",Palette_1b00fe6a
fair,hazel,brown,Summer,"['soft pink', 'lavender', 'warm green', 'warm brown', 'jewel blue']",Palette_924852af
lightMedium,brown,brown,Autumn,"['mustard', 'deep red', 'warm green', 'soft pink', 'bright red']",Palette_2615d737
tan,brown,black,Spring,"['warm green', 'peach', 'pastel blue', 'warm brown', 'jewel blue']",Palette_353bc9af
fairLight,hazel,brown,Summer,"['pastel blue', 'grey', 'warm green', 'warm brown', 'white']",Palette_cc501fae
mediumTan,brown,brown,Autumn,"['deep red', 'orange', 'clear turquoise', 'grey', 'white']",Palette_005899a2
light,green,brown,Summer,"['lavender', 'soft pink', 'peach', 'warm brown', 'bright red']",Palette_8c1ec426
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'peach', 'lavender', 'navy']",Palette_468faf3a
mediumTan,brown,black,Spring,"['coral', 'golden yellow', 'lavender', 'orange', 'jewel blue']",Palette_ab62ae4e
fairLight,blue,brown,Summer,"['lavender', 'pastel blue', 'golden yellow', 'mustard', 'white']",Palette_bdd4d3ad
light,hazel,brunette,Summer,"['grey', 'pastel blue', 'golden yellow', 'olive green', 'navy']",Palette_59ea265c
light,green,brown,Summer,"['pastel blue', 'lavender', 'peach', 'olive green', 'black']",Palette_8b40a5b7
lightMedium,hazel,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'mustard', 'white']",Palette_69bcfa15
deep,brown,black,Winter,"['bright red', 'white', 'peach', 'grey', 'warm brown']",Palette_fc3bcb19
fair,brown,brown,Summer,"['soft pink', 'soft green', 'golden yellow', 'warm brown', 'navy']",Palette_7fb7d50e
fair,hazel,blonde,Spring,"['golden yellow', 'peach', 'pastel blue', 'orange', 'navy']",Palette_55b6a3eb
light,green,blonde,Spring,"['clear turquoise', 'warm green', 'grey', 'olive green', 'white']",Palette_a4be97b6
medium,brown,brown,Autumn,"['mustard', 'olive green', 'clear turquoise', 'lavender', 'bright red']",Palette_bbdcbd3f
lightMedium,brown,brown,Autumn,"['warm brown', 'olive green', 'coral', 'soft pink', 'white']",Palette_fb638afd
light,brown,brown,Summer,"['soft pink', 'grey', 'coral', 'deep red', 'jewel blue']",Palette_7d74d142
fair,brown,brown,Summer,"['soft pink', 'soft green', 'golden yellow', 'orange', 'navy']",Palette_4c558333
fair,hazel,brown,Summer,"['soft pink', 'soft green', 'peach', 'warm brown', 'bright red']",Palette_1b4c48c5
light,Other,brown,Summer,"['pastel blue', 'soft green', 'warm green', 'deep red', 'navy']",Palette_23b53710
lightMedium,brown,blonde,Spring,"['coral', 'peach', 'grey', 'deep red', 'white']",Palette_bb2683b6
tan,brown,brown,Autumn,"['warm brown', 'olive green', 'clear turquoise', 'grey', 'white']",Palette_4f58949e
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'golden yellow', 'soft green', 'black']",Palette_afe18397
fair,brown,red,Summer,"['soft pink', 'pastel blue', 'warm green', 'olive green', 'navy']",Palette_f1d14076
light,brown,black,Summer,"['pastel blue', 'soft green', 'clear turquoise', 'olive green', 'jewel blue']",Palette_ec04f03b
light,hazel,blonde,Spring,"['coral', 'golden yellow', 'lavender', 'mustard', 'jewel blue']",Palette_6a4012d0
lightMedium,brown,brown,Autumn,"['warm brown', 'mustard', 'warm green', 'soft green', 'jewel blue']",Palette_0a76c4c8
light,blue,blonde,Spring,"['warm green', 'golden yellow', 'soft green', 'warm brown', 'white']",Palette_bc0f2653
fair,blue,brown,Summer,"['soft green', 'soft pink', 'warm green', 'olive green', 'bright red']",Palette_d0cefe39
mediumTan,green,brown,Autumn,"['olive green', 'deep red', 'peach', 'soft pink', 'navy']",Palette_c6846cbd
lightMedium,green,brown,Autumn,"['warm brown', 'orange', 'coral', 'soft pink', 'jewel blue']",Palette_22013840
light,blue,brunette,Summer,"['pastel blue', 'grey', 'golden yellow', 'mustard', 'jewel blue']",Palette_7ac261d6
tan,brown,black,Spring,"['coral', 'golden yellow', 'pastel blue', 'warm brown', 'black']",Palette_203c248e
fairLight,blue,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'mustard', 'white']",Palette_f8fa9a1d
mediumTan,brown,brown,Autumn,"['warm brown', 'orange', 'coral', 'pastel blue', 'white']",Palette_847b1728
light,brown,brunette,Summer,"['soft pink', 'soft green', 'warm green', 'warm brown', 'black']",Palette_20d621e8
light,brown,brunette,Summer,"['grey', 'soft green', 'peach', 'orange', 'white']",Palette_2f02763a
fair,blue,blonde,Spring,"['coral', 'golden yellow', 'soft green', 'warm brown', 'jewel blue']",Palette_9e4933be
fair,brown,brown,Summer,"['grey', 'soft pink', 'peach', 'warm brown', 'navy']",Palette_8290da46
lightMedium,green,blonde,Spring,"['coral', 'peach', 'grey', 'warm brown', 'white']",Palette_e288c9e8
fair,blue,blonde,Spring,"['warm green', 'coral', 'pastel blue', 'warm brown', 'jewel blue']",Palette_cdb2c4f4
fair,green,red,Spring,"['golden yellow', 'warm green', 'soft pink', 'deep red', 'black']",Palette_1160eca9
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'peach', 'deep red', 'navy']",Palette_9ac3ceb7
lightMedium,brown,brown,Autumn,"['orange', 'deep red', 'warm green', 'pastel blue', 'jewel blue']",Palette_c3095a18
fair,hazel,brown,Summer,"['soft green', 'soft pink', 'coral', 'orange', 'bright red']",Palette_095f3388
lightMedium,brown,red,Autumn,"['orange', 'mustard', 'golden yellow', 'grey', 'black']",Palette_fecdcdbf
light,brown,brown,Summer,"['grey', 'pastel blue', 'warm green', 'olive green', 'black']",Palette_1e9569d8
Other,blue,blonde,Spring,"['peach', 'warm green', 'soft pink', 'orange', 'navy']",Palette_564b8af1
light,brown,brown,Summer,"['grey', 'soft green', 'coral', 'warm brown', 'jewel blue']",Palette_c3ceaf73
fair,hazel,auburn,Spring,"['warm green', 'clear turquoise', 'soft green', 'mustard', 'navy']",Palette_5af13115
medium,hazel,red,Autumn,"['warm brown', 'deep red', 'warm green', 'grey', 'navy']",Palette_ec008c89
fair,blue,blonde,Spring,"['clear turquoise', 'peach', 'soft green', 'olive green', 'black']",Palette_c2417d13
Other,brown,brown,Winter,"['bright red', 'white', 'warm green', 'grey', 'olive green']",Palette_f97704b7
lightMedium,green,brown,Autumn,"['deep red', 'orange', 'golden yellow', 'soft green', 'bright red']",Palette_3345c90d
lightMedium,hazel,brown,Autumn,"['warm brown', 'olive green', 'warm green', 'soft pink', 'jewel blue']",Palette_87a27145
lightMedium,brown,black,Spring,"['coral', 'clear turquoise', 'soft green', 'deep red', 'jewel blue']",Palette_1a907151
medium,brown,brown,Autumn,"['orange', 'olive green', 'golden yellow', 'grey', 'bright red']",Palette_603fceba
lightMedium,brown,auburn,Autumn,"['warm brown', 'mustard', 'coral', 'pastel blue', 'white']",Palette_80c95fa4
tan,hazel,brown,Autumn,"['olive green', 'deep red', 'golden yellow', 'soft green', 'black']",Palette_d5945b4e
fair,green,blonde,Spring,"['coral', 'clear turquoise', 'pastel blue', 'deep red', 'jewel blue']",Palette_fb9ac056
fair,brown,brown,Summer,"['soft green', 'pastel blue', 'peach', 'deep red', 'navy']",Palette_ca0453e2
fairLight,hazel,blonde,Spring,"['peach', 'clear turquoise', 'soft pink', 'orange', 'navy']",Palette_6bb8d1d3
fair,blue,blonde,Spring,"['coral', 'golden yellow', 'pastel blue', 'orange', 'navy']",Palette_9e60008a
light,blue,brunette,Summer,"['grey', 'soft pink', 'coral', 'deep red', 'black']",Palette_3fe8cf4e
lightMedium,brown,black,Spring,"['clear turquoise', 'coral', 'lavender', 'olive green', 'black']",Palette_a471d2a2
fair,hazel,black,Summer,"['pastel blue', 'soft pink', 'warm green', 'orange', 'bright red']",Palette_21f660a6
tan,green,blonde,Spring,"['clear turquoise', 'coral', 'grey', 'orange', 'bright red']",Palette_ff5cd362
fair,hazel,red,Spring,"['clear turquoise', 'peach', 'soft pink', 'mustard', 'jewel blue']",Palette_271505a0
medium,brown,Other,Spring,"['golden yellow', 'coral', 'soft green', 'mustard', 'navy']",Palette_672265b9
mediumTan,brown,black,Spring,"['peach', 'golden yellow', 'soft pink', 'mustard', 'black']",Palette_1016466c
tan,brown,auburn,Autumn,"['orange', 'warm brown', 'peach', 'soft green', 'jewel blue']",Palette_401f51b2
fair,blue,brown,Summer,"['lavender', 'grey', 'golden yellow', 'olive green', 'navy']",Palette_fe5d5181
fair,blue,blonde,Spring,"['peach', 'clear turquoise', 'grey', 'deep red', 'navy']",Palette_b268ed3d
mediumTan,brown,brown,Autumn,"['warm brown', 'orange', 'warm green', 'soft pink', 'black']",Palette_3bbc0a9e
mediumTan,brown,brown,Autumn,"['deep red', 'orange', 'clear turquoise', 'pastel blue', 'bright red']",Palette_53c5e55f
medium,green,blonde,Spring,"['coral', 'warm green', 'lavender', 'orange', 'navy']",Palette_082ca6d7
fair,green,blonde,Spring,"['clear turquoise', 'warm green', 'grey', 'deep red', 'black']",Palette_3702cc88
medium,brown,brown,Autumn,"['warm brown', 'deep red', 'warm green', 'soft green', 'navy']",Palette_ea963866
fair,blue,brown,Summer,"['grey', 'lavender', 'clear turquoise', 'olive green', 'navy']",Palette_d12feccc
fair,blue,blonde,Spring,"['peach', 'coral', 'soft pink', 'olive green', 'jewel blue']",Palette_5e72c652
deep,brown,black,Winter,"['jewel blue', 'navy', 'clear turquoise', 'lavender', 'deep red']",Palette_ef2e181f
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'peach', 'pastel blue', 'jewel blue']",Palette_c08e621d
light,green,brown,Summer,"['soft pink', 'grey', 'clear turquoise', 'warm brown', 'black']",Palette_41801cde
fair,blue,blonde,Spring,"['coral', 'warm green', 'soft pink', 'orange', 'jewel blue']",Palette_fcfd952b
fair,blue,blonde,Spring,"['peach', 'coral', 'soft pink', 'warm brown', 'bright red']",Palette_aa6237e9
fair,blue,auburn,Spring,"['coral', 'peach', 'grey', 'deep red', 'jewel blue']",Palette_541721fb
lightMedium,brown,brown,Autumn,"['mustard', 'deep red', 'coral', 'pastel blue', 'bright red']",Palette_48384bfb
light,blue,auburn,Spring,"['golden yellow', 'clear turquoise', 'pastel blue', 'orange', 'black']",Palette_1857b7d0
fairLight,hazel,brown,Summer,"['grey', 'lavender', 'golden yellow', 'mustard', 'black']",Palette_d501e0d1
lightMedium,brown,black,Spring,"['clear turquoise', 'warm green', 'pastel blue', 'olive green', 'jewel blue']",Palette_60caabd9
light,blue,blonde,Spring,"['clear turquoise', 'peach', 'soft pink', 'deep red', 'black']",Palette_4ef3a640
fair,blue,red,Spring,"['golden yellow', 'warm green', 'soft pink', 'olive green', 'navy']",Palette_0c95de9e
medium,brown,auburn,Autumn,"['olive green', 'warm brown', 'warm green', 'grey', 'black']",Palette_7066e6e0
fair,hazel,brown,Summer,"['soft pink', 'pastel blue', 'coral', 'deep red', 'navy']",Palette_3c0ef539
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'warm green', 'mustard', 'white']",Palette_4216c39b
light,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'grey', 'deep red', 'black']",Palette_093ed2df
fair,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'mustard', 'jewel blue']",Palette_703140a0
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'soft pink', 'mustard', 'jewel blue']",Palette_149a7532
fair,green,red,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'orange', 'black']",Palette_127fda01
fair,hazel,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft green', 'orange', 'navy']",Palette_87d8efc6
